"id";"stock_id";"pub_date";"amount";"close";"high";"low";"open";"vol";"ma10";"ma20";"ma5";"tor";"vr"
1;"000568";"2017-12-15";524694464.0;65.0;67.0;64.73;65.68;79649;62.9;63.45;64.61;0.57;0.72
2;"000568";"2017-12-14";563956672.0;65.77;66.76;64.49;65.73;85884;62.4;63.65;63.75;0.61;0.74
3;"000568";"2017-12-13";737591936.0;65.74;65.83;62.58;62.77;114675;61.75;63.9;62.44;0.82;0.96
4;"000568";"2017-12-12";466812000.0;62.91;64.5;62.75;64.0;73634;61.26;63.97;61.5;0.53;0.56
5;"000568";"2017-12-11";1053727424.0;63.62;63.8;61.0;61.28;167167;61.27;64.11;61.44;1.19;1.37
6;"000568";"2017-12-08";660666048.0;60.7;60.99;58.8;58.83;109721;61.2;64.3;61.19;0.78;0.92
7;"000568";"2017-12-07";698483264.0;59.22;61.17;58.7;61.08;117384;61.54;64.69;61.05;0.84;0.97
8;"000568";"2017-12-06";787385856.0;61.05;63.5;60.2;62.5;127862;61.97;65.09;61.06;0.91;1.03
9;"000568";"2017-12-05";868337856.0;62.61;64.45;61.81;62.31;137919;62.64;65.29;61.02;0.98;1.17
10;"000568";"2017-12-04";733527616.0;62.35;63.1;59.51;60.19;118480;63.39;65.49;61.1;0.85;0.97
11;"000568";"2017-12-01";567392000.0;60.01;60.43;58.98;59.57;94916;64.01;65.69;61.21;0.68;0.69
12;"000568";"2017-11-30";746465088.0;59.28;61.68;58.5;60.66;124565;64.91;65.94;62.04;0.89;0.84
13;"000568";"2017-11-29";882446592.0;60.86;63.3;60.05;63.25;144580;66.04;66.24;62.89;1.03;0.97
14;"000568";"2017-11-28";688756032.0;62.99;64.28;61.85;61.85;109217;66.69;66.31;64.25;0.78;0.68
15;"000568";"2017-11-27";856902144.0;62.92;64.26;61.13;62.9;136882;66.94;66.2;65.69;0.98;0.86
16;"000568";"2017-11-24";1058799872.0;64.16;64.16;61.0;63.32;169508;67.41;66.05;66.8;1.21;1.0
17;"000568";"2017-11-23";1173149568.0;63.51;66.6;63.45;66.55;181990;67.84;65.83;67.77;1.3;1.03
18;"000568";"2017-11-22";988791680.0;67.67;70.69;66.46;69.78;144369;68.2;65.6;69.19;1.03;0.8
19;"000568";"2017-11-21";1135392896.0;70.17;70.45;65.99;67.3;165795;67.94;65.1;69.12;1.18;0.94
20;"000568";"2017-11-20";902888896.0;68.49;68.99;64.8;67.98;133560;67.58;64.53;68.2;0.95;0.78
21;"000568";"2017-11-17";1521179648.0;69.01;69.93;67.3;69.3;221546;67.38;64.0;68.02;1.58;1.4
22;"000568";"2017-11-16";1529951872.0;70.63;70.8;66.78;66.8;220567;66.97;63.45;67.92;1.57;1.48
23;"000568";"2017-11-15";1046879040.0;67.31;67.31;65.2;65.9;158237;66.43;62.89;67.21;1.13;1.02
24;"000568";"2017-11-14";981065088.0;65.58;67.55;64.8;67.26;149157;65.93;62.45;66.75;1.06;1.0
25;"000568";"2017-11-13";714767936.0;67.58;68.88;67.42;68.5;105291;65.46;62.02;66.96;0.75;0.67
26;"000568";"2017-11-10";1071909824.0;68.49;69.1;66.5;66.68;157496;64.68;61.53;66.73;1.12;1.03
27;"000568";"2017-11-09";1162043904.0;67.11;67.15;63.55;65.3;177222;63.82;61.05;66.01;1.26;1.1
28;"000568";"2017-11-08";1220680832.0;65.01;68.48;64.79;67.67;184395;62.99;60.67;65.65;1.32;1.16
29;"000568";"2017-11-07";823341952.0;66.6;69.08;65.8;66.0;122037;62.27;60.38;65.1;0.87;0.74
30;"000568";"2017-11-06";931012160.0;66.44;66.87;64.3;65.0;141960;61.49;59.94;63.96;1.01;0.84
31;"000568";"2017-11-03";919544512.0;64.91;66.66;64.31;65.23;140999;60.63;59.43;62.64;1.01;0.76
32;"000568";"2017-11-02";1390318080.0;65.3;65.7;63.1;63.1;214448;59.94;58.99;61.62;1.53;1.19
33;"000568";"2017-11-01";1102492544.0;62.26;62.99;60.94;61.0;177531;59.35;58.57;60.33;1.27;1.1
34;"000568";"2017-10-31";928423104.0;60.88;62.0;58.76;59.25;153625;58.97;58.27;59.43;1.1;1.01
35;"000568";"2017-10-30";919397760.0;59.85;60.4;57.88;59.11;155694;58.59;58.06;59.02;1.11;1.13
